Rk,Player,Age,Team_adv,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Season,RookieSeason,Team_sl,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Impact_PC1
169.0,Brian Roberts,28.0,NOP,PG,72.0,42.0,1667.0,13.4,0.529,0.306,0.229,1.2,8.4,4.7,22.1,1.3,0.4,12.9,20.0,2.0,0.2,2.2,0.063,-0.1,-1.6,-1.7,0.1,,2013-14,2013-14,NOP,5,31.6,14.2,5.6,13.8,0.406,0.8,2.8,0.286,2.2,2.4,0.917,0.6,2.4,3.0,2.6,1.4,0.0,1.6,3.4,0.5539786287178082
179.0,Kendall Marshall,22.0,LAL,PG,54.0,45.0,1564.0,12.6,0.494,0.425,0.086,1.0,9.6,5.3,44.3,1.5,0.2,25.6,16.3,0.6,0.3,0.9,0.029,0.0,-2.4,-2.4,-0.2,,2013-14,2013-14,PHX,7,20.2,5.6,1.7,4.4,0.387,0.9,2.1,0.4,1.3,1.6,0.818,0.0,1.0,1.0,4.0,0.6,0.1,2.0,1.4,0.2777610473648932
188.0,Evan Fournier,21.0,DEN,SG,76.0,4.0,1503.0,10.3,0.533,0.436,0.226,2.4,12.1,7.3,11.6,1.1,0.3,14.3,19.7,0.6,0.8,1.4,0.043,-2.0,-0.9,-2.9,-0.4,,2013-14,2013-14,DEN,6,23.1,9.2,3.2,8.7,0.365,1.3,5.0,0.267,1.5,2.2,0.692,0.3,1.8,2.2,0.7,0.7,0.3,2.2,2.0,0.1232736017407956
189.0,Michael Kidd-Gilchrist,20.0,CHA,SF,62.0,62.0,1502.0,12.0,0.516,0.025,0.521,8.2,16.2,12.2,5.4,1.5,2.1,12.1,15.2,0.9,2.2,3.1,0.098,-2.9,0.8,-2.1,0.0,,2013-14,2013-14,CHA,3,27.6,10.7,4.3,8.0,0.542,0.0,0.7,0.0,2.0,3.0,0.667,0.3,3.0,3.3,1.3,1.3,0.0,2.7,1.7,0.5691928372027838
192.0,Shelvin Mack,23.0,ATL,PG,73.0,11.0,1490.0,13.2,0.51,0.367,0.148,1.6,10.7,6.2,28.8,1.7,0.1,14.3,19.0,1.2,1.2,2.3,0.074,-0.6,-0.5,-1.1,0.3,,2013-14,2013-14,ATL,5,17.4,7.6,3.0,7.2,0.417,0.6,1.4,0.429,1.0,1.2,0.833,0.2,2.2,2.4,2.6,0.4,0.0,1.4,1.6,0.644161718481721
193.0,Mike Scott,25.0,ATL,PF,80.0,6.0,1482.0,15.3,0.559,0.318,0.21,4.9,17.2,11.1,8.9,1.0,0.4,10.3,23.5,1.3,1.2,2.6,0.084,0.0,-1.6,-1.6,0.1,,2013-14,2013-14,ATL,5,27.7,18.6,6.0,13.0,0.462,0.4,1.6,0.25,6.2,6.8,0.912,1.6,4.6,6.2,1.0,0.4,0.0,2.2,2.6,0.797755750862747
202.0,Cody Zeller,21.0,CHA,C,82.0,3.0,1416.0,13.1,0.498,0.002,0.495,9.4,18.8,14.1,10.4,1.5,2.3,15.0,18.9,0.4,2.2,2.6,0.09,-2.9,0.9,-2.0,0.0,,2013-14,2013-14,CHA,4,31.9,16.3,6.5,12.5,0.52,0.0,0.5,0.0,3.3,4.5,0.722,1.3,8.0,9.3,1.5,0.3,0.8,3.5,4.0,0.6242928701120674
215.0,Austin Rivers,21.0,NOP,PG,69.0,4.0,1339.0,11.6,0.482,0.209,0.365,2.2,9.1,5.6,18.7,1.8,0.6,12.3,21.3,0.2,0.4,0.6,0.023,-2.0,-1.4,-3.4,-0.5,,2013-14,2013-14,NOP,5,33.0,18.2,6.8,14.0,0.486,0.4,2.0,0.2,4.2,5.8,0.724,0.2,3.4,3.6,2.6,1.4,0.4,2.6,4.0,0.0837278995479951
218.0,Nate Wolters,22.0,MIL,PG,58.0,31.0,1309.0,12.7,0.486,0.159,0.231,2.8,10.5,6.5,23.3,1.4,0.9,11.7,16.8,0.9,0.2,1.2,0.043,-0.8,-1.0,-1.8,0.1,,2013-14,2013-14,MIL,5,23.4,9.4,3.6,8.8,0.409,0.2,2.0,0.1,2.0,3.0,0.667,1.2,2.0,3.2,2.8,1.4,0.2,1.2,1.0,0.4035547135540791
227.0,Jae Crowder,23.0,DAL,SF,78.0,8.0,1254.0,11.9,0.551,0.51,0.206,4.3,13.5,8.9,6.7,2.4,1.4,11.3,13.2,1.2,1.1,2.3,0.089,-0.7,0.8,0.2,0.7,,2013-14,2013-14,DAL,5,27.0,13.2,5.0,11.6,0.431,0.6,3.8,0.158,2.6,4.2,0.619,0.6,3.6,4.2,2.2,2.2,0.8,2.8,4.2,0.7359396401852706
