Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Season
Antonio Blakeney,CHI,4,26.7,16.8,5.3,12.0,0.438,2.3,3.5,0.643,4.0,6.3,0.64,0.8,4.3,5.0,0.5,0.8,0.0,1.0,1.5,2017-18
Justin Jackson,SAC,6,32.3,16.7,6.0,15.8,0.379,1.5,6.3,0.237,3.2,3.7,0.864,0.8,2.5,3.3,2.3,0.3,0.3,1.8,1.3,2017-18
Buddy Hield,SAC,3,25.0,16.7,5.3,15.0,0.356,2.3,6.7,0.35,3.7,4.3,0.846,1.0,2.7,3.7,1.0,0.7,0.7,2.0,3.0,2017-18
Lonzo Ball,LAL,6,32.5,16.3,5.7,14.8,0.382,1.7,7.0,0.238,3.3,4.3,0.769,1.3,6.3,7.7,9.3,2.5,1.0,3.8,2.2,2017-18
Juancho Hernangomez,DEN,3,30.4,16.3,5.0,13.3,0.375,3.0,7.7,0.391,3.3,4.7,0.714,2.0,5.3,7.3,2.7,1.7,0.7,4.0,3.3,2017-18
Caleb Swanigan,POR,8,30.8,16.1,6.1,14.0,0.438,0.8,2.8,0.273,3.1,3.9,0.806,3.4,7.3,10.6,2.3,1.4,0.4,2.8,3.8,2017-18
Caris LeVert,BRK,5,25.9,16.0,5.8,12.2,0.475,0.8,4.6,0.174,3.6,4.8,0.75,0.8,4.2,5.0,2.0,0.8,0.2,2.4,2.4,2017-18
Rashad Vaughn,MIL,5,25.3,16.0,6.2,12.0,0.517,1.2,4.0,0.3,2.4,4.8,0.5,0.4,3.2,3.6,1.8,1.0,0.4,1.8,2.4,2017-18
Kay Felder,CLE,4,26.4,15.8,5.5,17.3,0.319,0.5,3.8,0.133,4.3,5.5,0.773,1.0,3.3,4.3,3.5,1.8,1.3,2.0,4.3,2017-18
Bam Adebayo,MIA,3,29.0,15.7,4.3,10.0,0.433,0.0,0.0,0.0,7.0,8.3,0.84,0.7,8.0,8.7,1.3,1.7,0.3,3.0,2.7,2017-18
John Collins,ATL,5,23.1,15.4,6.4,10.8,0.593,0.2,0.2,1.0,2.4,3.6,0.667,3.2,6.0,9.2,1.0,0.8,0.6,1.0,3.0,2017-18
Jared Cunningham,WAS,4,19.4,15.3,4.0,9.3,0.432,1.3,3.0,0.417,6.0,8.0,0.75,1.0,0.8,1.8,0.3,0.8,0.0,1.8,1.0,2017-18
Vander Blue,LAL,8,27.4,15.0,4.9,9.8,0.5,1.3,3.1,0.4,4.0,5.6,0.711,0.6,3.1,3.8,3.0,0.8,0.1,1.8,2.6,2017-18
Derrick White,SAS,3,26.7,15.0,5.0,12.7,0.395,1.7,4.7,0.357,3.3,4.3,0.769,0.3,2.3,2.7,1.3,1.0,0.3,1.7,3.0,2017-18
Furkan Korkmaz,PHL,5,25.7,14.6,5.8,11.8,0.492,2.2,6.6,0.333,0.8,1.0,0.8,0.8,2.6,3.4,1.8,1.0,0.2,1.2,2.4,2017-18
Brice Johnson,LAC,5,23.7,14.4,6.0,10.4,0.577,0.2,0.2,1.0,2.2,3.0,0.733,1.6,3.6,5.2,0.8,1.2,1.0,2.0,3.8,2017-18
Marquese Chriss,PHX,5,25.8,14.4,3.8,11.0,0.345,0.6,2.8,0.214,6.2,8.0,0.775,1.4,4.6,6.0,1.0,0.8,1.0,4.6,4.6,2017-18
Brandon Paul,CLE,3,25.3,14.3,5.3,11.3,0.471,2.0,6.3,0.316,1.7,3.0,0.556,0.0,5.0,5.0,2.3,2.3,0.3,1.0,2.3,2017-18
Pascal Siakam,TOR,4,26.7,14.3,5.8,10.8,0.535,1.0,2.8,0.364,1.8,2.3,0.778,0.8,3.8,4.5,1.8,1.3,1.3,2.0,3.0,2017-18
Sindarius Thornwell,LAC,4,26.8,14.3,3.8,9.8,0.385,0.5,3.3,0.154,6.3,8.0,0.781,0.5,3.0,3.5,1.3,1.8,0.0,1.8,2.5,2017-18
Dragan Bender,PHX,5,31.4,14.2,5.2,13.2,0.394,2.0,7.0,0.286,1.8,2.6,0.692,2.2,3.8,6.0,2.4,0.4,0.2,2.2,5.2,2017-18
Wade Baldwin IV,MEM,6,28.8,14.2,4.5,11.8,0.38,0.8,2.5,0.333,4.3,5.8,0.743,1.2,5.2,6.3,2.7,1.0,0.0,2.3,3.7,2017-18
Chris Johnson,HOU,5,26.1,14.0,5.2,10.4,0.5,2.2,4.6,0.478,1.4,1.4,1.0,2.4,3.8,6.2,1.4,2.2,0.2,0.6,2.0,2017-18
Davon Reed,PHX,6,27.4,14.0,4.2,11.2,0.373,1.7,5.8,0.286,4.0,4.7,0.857,0.5,3.5,4.0,1.2,1.2,0.3,2.0,2.2,2017-18
Lauri Markkanen,CHI,3,32.8,14.0,4.0,13.7,0.293,2.0,8.3,0.24,4.0,4.3,0.923,3.0,6.0,9.0,1.0,1.0,1.7,0.7,1.7,2017-18
Abdel Nader,BOS,1,27.5,14.0,2.0,7.0,0.286,0.0,1.0,0.0,10.0,12.0,0.833,0.0,7.0,7.0,2.0,1.0,1.0,1.0,0.0,2017-18
Jake Layman,POR,8,28.4,13.8,4.6,13.6,0.339,1.8,5.4,0.326,2.8,3.6,0.759,1.1,3.5,4.6,1.0,1.1,0.6,1.8,3.5,2017-18
Jakob Poeltl,TOR,4,27.1,13.5,6.0,8.5,0.706,0.0,0.5,0.0,1.5,2.0,0.75,2.3,6.8,9.0,0.8,0.8,0.5,1.0,2.5,2017-18
Yogi Ferrell,DAL,6,27.8,13.3,4.5,11.8,0.38,1.8,5.5,0.333,2.5,3.0,0.833,0.5,2.8,3.3,3.3,2.2,0.0,1.7,1.5,2017-18
Jalen Jones,NOP,6,23.4,13.3,3.8,10.5,0.365,1.2,4.0,0.292,4.5,5.0,0.9,1.8,4.3,6.2,0.7,0.7,0.3,2.5,3.5,2017-18
Taurean Prince,ATL,4,27.5,13.3,4.3,12.3,0.347,1.5,4.5,0.333,3.3,3.5,0.929,0.8,1.8,2.5,1.5,0.8,0.5,4.0,2.8,2017-18
Isaiah Whitehead,BRK,5,23.4,13.2,5.0,11.4,0.439,1.0,3.4,0.294,2.2,3.6,0.611,0.8,3.8,4.6,3.0,0.8,0.0,1.4,1.8,2017-18
Sheldon Mac,WAS,5,23.0,13.2,4.2,7.4,0.568,0.8,1.6,0.5,4.0,5.6,0.714,0.6,2.8,3.4,1.4,1.0,0.2,2.4,1.2,2017-18
Jarnell Stokes,POR,7,24.7,13.0,5.6,8.3,0.672,0.4,0.7,0.6,1.4,3.4,0.417,3.4,4.1,7.6,1.1,1.3,0.9,1.6,2.3,2017-18
Denzel Valentine,CHI,5,32.8,13.0,5.2,14.8,0.351,2.0,7.6,0.263,0.6,0.6,1.0,1.2,5.0,6.2,3.6,2.0,0.2,3.4,3.0,2017-18
Isaiah Taylor,HOU,5,26.4,12.6,3.6,10.0,0.36,1.0,2.6,0.385,4.4,5.4,0.815,0.2,2.4,2.6,7.4,1.4,0.2,2.6,2.8,2017-18
Justin Robinson,MIA,5,22.4,12.6,4.4,10.8,0.407,1.8,4.6,0.391,2.0,2.8,0.714,0.4,2.4,2.8,3.2,1.6,0.0,2.0,1.2,2017-18
Marcus Paige,MIN,5,29.8,12.4,4.4,12.6,0.349,2.6,6.6,0.394,1.0,1.2,0.833,0.2,2.6,2.8,5.0,1.6,0.2,3.2,2.0,2017-18
Gian Clavell,MIA,5,24.6,12.4,3.8,8.4,0.452,2.6,6.4,0.406,2.2,2.4,0.917,0.0,2.6,2.6,1.4,0.6,0.4,1.2,3.6,2017-18
T.J. Williams,CLE,5,24.7,12.2,3.8,11.0,0.345,0.4,1.6,0.25,4.2,5.0,0.84,0.4,2.0,2.4,2.2,1.6,0.0,2.6,0.8,2017-18
Dillon Brooks,MEM,6,23.0,12.2,4.5,9.7,0.466,1.0,2.8,0.353,2.2,3.2,0.684,0.8,2.8,3.7,1.7,1.5,0.5,1.0,3.5,2017-18
D.J. Wilson,MIL,5,25.3,11.8,4.6,12.0,0.383,1.2,4.4,0.273,1.4,1.6,0.875,1.4,4.0,5.4,1.4,0.8,1.4,0.8,2.4,2017-18
De'Aaron Fox,SAC,4,21.3,11.8,4.0,9.0,0.444,0.3,2.0,0.125,3.5,5.5,0.636,0.5,1.8,2.3,3.0,2.3,0.3,2.5,3.0,2017-18
Alex Poythress,PHL,4,23.2,11.8,4.5,8.5,0.529,1.0,3.0,0.333,1.8,3.3,0.538,1.5,2.3,3.8,0.5,0.8,1.0,2.0,3.8,2017-18
Spencer Dinwiddie,BRK,5,24.2,11.6,3.4,7.4,0.459,1.0,3.8,0.263,3.8,4.8,0.792,0.4,2.6,3.0,2.0,1.8,0.6,1.4,2.6,2017-18
Torrey Craig,DEN,6,22.2,11.5,3.8,8.2,0.469,0.8,3.0,0.278,3.0,3.2,0.947,0.5,4.3,4.8,1.3,0.8,1.0,1.0,3.2,2017-18
Brandon Ashley,DAL,6,20.0,11.5,4.5,9.5,0.474,0.8,2.8,0.294,1.7,2.5,0.667,1.3,2.3,3.7,0.5,0.7,1.0,0.7,4.5,2017-18
Jarell Martin,MEM,6,24.1,11.5,3.8,10.2,0.377,0.0,1.0,0.0,3.8,4.8,0.793,2.3,3.0,5.3,0.8,1.2,0.5,1.3,4.8,2017-18
Cameron Payne,CHI,2,28.5,11.5,4.5,13.0,0.346,1.0,6.0,0.167,1.5,2.0,0.75,0.0,3.5,3.5,2.5,0.0,0.0,3.5,2.5,2017-18
"Robert Carter, Jr.",DEN,6,19.5,11.3,4.3,8.8,0.491,0.7,1.5,0.444,2.0,2.3,0.857,2.3,3.3,5.7,1.2,0.8,0.5,2.0,2.0,2017-18
Matt Costello,MIN,4,25.8,11.3,4.3,7.0,0.607,0.0,0.5,0.0,2.8,3.8,0.733,3.3,8.8,12.0,2.5,1.8,1.3,1.0,2.3,2017-18
Jordan Loyd,TOR,4,24.6,11.3,3.3,6.8,0.481,0.8,3.3,0.231,4.0,4.3,0.941,0.5,2.3,2.8,1.8,0.8,0.5,1.5,1.5,2017-18
Kennedy Meeks,TOR,4,15.5,11.3,5.0,9.0,0.556,0.8,2.5,0.3,0.5,1.0,0.5,1.8,3.8,5.5,1.0,0.3,0.5,1.5,3.0,2017-18
Marcus Keene,WAS,4,16.8,11.3,4.3,8.5,0.5,1.8,3.8,0.467,1.0,1.8,0.571,0.3,1.0,1.3,1.3,0.5,0.0,1.3,1.3,2017-18
Perry Ellis,MIN,5,24.4,11.2,4.2,10.0,0.42,1.6,3.6,0.444,1.2,1.4,0.857,0.8,3.6,4.4,0.8,0.6,0.4,0.8,1.2,2017-18
R.J. Hunter,POR,8,23.3,11.1,3.3,8.9,0.366,1.6,5.3,0.31,3.0,3.6,0.828,0.4,1.5,1.9,1.6,0.8,0.4,1.9,2.8,2017-18
Kris Dunn,CHI,1,30.3,11.0,3.0,12.0,0.25,1.0,3.0,0.333,4.0,4.0,1.0,1.0,3.0,4.0,3.0,0.0,1.0,2.0,6.0,2017-18
Ivica Zubac,LAL,8,20.9,10.9,4.0,8.5,0.471,0.0,0.3,0.0,2.9,4.0,0.719,1.1,4.3,5.4,0.8,0.3,1.1,1.6,3.0,2017-18
Jamil Wilson,LAC,5,16.4,10.8,4.4,5.6,0.786,2.0,3.2,0.625,0.0,0.0,0.0,1.0,3.4,4.4,1.6,0.8,0.4,1.4,2.4,2017-18
Shayne Whittington,SAS,5,22.4,10.8,4.0,6.8,0.588,0.0,0.6,0.0,2.8,3.2,0.875,3.4,2.0,5.4,0.0,1.0,1.4,1.8,3.8,2017-18
C.J. Williams,MIN,5,25.7,10.8,3.6,9.4,0.383,0.8,4.0,0.2,2.8,3.4,0.824,0.4,2.4,2.8,1.2,0.8,0.4,0.8,2.0,2017-18
Eric Griffin,UTA,4,25.4,10.8,4.0,8.0,0.5,0.5,2.0,0.25,2.3,4.0,0.563,1.8,6.0,7.8,1.8,1.5,3.0,3.3,4.8,2017-18
Tony Bradley,UTA,5,22.3,10.6,5.0,9.6,0.521,0.0,0.0,0.0,0.6,0.8,0.75,3.8,2.8,6.6,0.8,0.2,1.2,1.0,2.6,2017-18
Milton Doyle,BRK,4,16.4,10.5,4.3,7.5,0.567,1.3,2.5,0.5,0.8,1.3,0.6,0.3,3.3,3.5,1.5,0.0,0.5,1.0,0.5,2017-18
Matt Williams,MIA,6,21.8,10.3,3.5,8.0,0.438,3.0,6.7,0.45,0.3,0.3,1.0,0.5,1.8,2.3,0.7,0.0,0.2,0.3,2.3,2017-18
Shaquille Harrison,PHX,3,22.4,10.3,3.7,6.0,0.611,0.3,1.3,0.25,2.7,4.0,0.667,0.7,2.3,3.0,1.0,2.0,0.3,1.7,3.7,2017-18
Jaylen Brown,BOS,3,22.5,10.3,3.3,11.0,0.303,1.0,4.0,0.25,2.7,3.7,0.727,1.7,3.7,5.3,1.7,1.0,1.3,3.0,4.0,2017-18
Archie Goodwin,BRK,5,21.2,10.2,3.6,8.8,0.409,0.8,2.6,0.308,2.2,3.2,0.688,0.8,3.2,4.0,2.4,0.2,1.0,1.8,1.0,2017-18
Semi Ojeleye,BOS,5,24.7,10.2,3.4,8.6,0.395,2.4,5.6,0.429,1.0,1.4,0.714,0.6,3.6,4.2,1.0,0.2,0.0,1.8,2.0,2017-18
Rondae Hollis-Jefferson,BRK,5,24.0,10.0,3.8,8.2,0.463,0.0,0.8,0.0,2.4,3.0,0.8,2.4,7.0,9.4,1.4,0.6,0.8,2.0,2.2,2017-18
Dom Pointer,CLE,4,20.3,10.0,4.5,7.8,0.581,0.3,0.8,0.333,0.8,2.0,0.375,1.5,3.8,5.3,2.5,2.3,1.0,1.5,2.0,2017-18
Olivier Hanlan,SAS,5,24.5,10.0,3.6,7.0,0.514,1.0,2.8,0.357,1.8,2.6,0.692,0.6,3.6,4.2,3.2,1.2,0.0,1.6,2.2,2017-18
Skal Labissiere,SAC,6,26.1,10.0,4.0,8.8,0.453,0.0,0.5,0.0,2.0,3.7,0.545,1.5,3.5,5.0,0.7,1.0,1.5,1.7,4.3,2017-18
Jabari Bird,BOS,5,17.8,10.0,4.4,7.2,0.611,0.6,1.4,0.429,0.6,1.2,0.5,1.0,3.0,4.0,0.2,0.8,0.2,2.0,1.2,2017-18
Charles Cooke,MIN,5,20.3,10.0,4.0,9.0,0.444,1.2,3.0,0.4,0.8,1.8,0.444,1.0,2.0,3.0,0.8,1.0,0.8,2.0,1.8,2017-18
Zach Auguste,MIA,5,21.3,10.0,4.2,8.0,0.525,0.0,0.2,0.0,1.6,4.2,0.381,2.8,2.4,5.2,1.2,0.4,0.4,2.6,3.4,2017-18
Ryan Kelly,ATL,4,19.8,10.0,3.0,8.3,0.364,0.8,3.0,0.25,3.3,4.8,0.684,0.5,3.0,3.5,1.0,1.0,0.0,0.5,2.3,2017-18
London Perrantes,MIA,2,27.9,10.0,3.0,8.0,0.375,0.0,2.0,0.0,4.0,4.0,1.0,0.0,2.0,2.0,5.0,1.5,0.0,4.5,2.0,2017-18
Josh Hart,LAL,2,22.5,10.0,4.0,10.5,0.381,0.5,4.5,0.111,1.5,1.5,1.0,0.0,4.0,4.0,0.5,0.5,0.5,2.0,2.0,2017-18
Paul Zipser,CHI,1,29.7,10.0,3.0,11.0,0.273,1.0,6.0,0.167,3.0,4.0,0.75,0.0,5.0,5.0,2.0,0.0,0.0,2.0,5.0,2017-18
Travis Trice,MIL,5,20.4,9.8,2.8,7.2,0.389,0.6,2.6,0.231,3.6,4.2,0.857,0.0,1.6,1.6,2.8,0.8,0.0,1.2,1.6,2017-18
Anthony Gill,CLE,4,27.1,9.8,4.0,7.0,0.571,0.5,1.3,0.4,1.3,2.3,0.556,2.0,6.3,8.3,1.3,1.3,0.3,1.8,2.5,2017-18
Naz Long,SAC,4,26.1,9.8,4.0,10.0,0.4,1.5,6.0,0.25,0.3,0.5,0.5,0.3,4.0,4.3,2.0,0.8,0.3,3.0,2.0,2017-18
Devondrick Walker,UTA,4,20.1,9.8,3.3,9.0,0.361,1.5,5.5,0.273,1.8,2.0,0.875,0.5,1.5,2.0,1.0,0.5,0.3,0.8,1.3,2017-18
David Nwaba,LAL,3,27.9,9.7,4.0,7.0,0.571,0.0,0.3,0.0,1.7,4.0,0.417,2.3,4.0,6.3,2.0,0.7,1.0,1.0,2.7,2017-18
Henry Sims,DEN,3,19.8,9.7,4.0,6.0,0.667,0.0,0.3,0.0,1.7,2.7,0.625,1.0,3.0,4.0,1.0,0.7,0.0,2.3,2.7,2017-18
Melo Trimble,PHL,3,13.7,9.7,3.7,6.3,0.579,1.7,3.0,0.556,0.7,1.0,0.667,0.0,0.3,0.3,0.3,1.3,0.0,1.0,1.0,2017-18
Matt Thomas,LAL,8,20.3,9.6,3.5,5.6,0.622,2.1,3.5,0.607,0.5,0.5,1.0,0.3,2.6,2.9,1.0,0.3,0.3,1.8,1.8,2017-18
Brady Heslip,CHI,5,20.2,9.6,3.4,8.2,0.415,2.8,6.6,0.424,0.0,0.0,0.0,0.2,1.0,1.2,1.0,0.6,0.0,0.4,1.2,2017-18
Monte Morris,DEN,6,21.6,9.5,3.7,9.0,0.407,0.2,1.3,0.125,2.0,2.7,0.75,0.5,1.7,2.2,4.3,1.3,0.8,1.0,1.8,2017-18
Larry Drew,PHL,4,24.9,9.5,3.8,7.8,0.484,1.5,3.3,0.462,0.5,1.0,0.5,0.0,1.5,1.5,6.0,2.0,0.0,2.5,2.3,2017-18
Mike Young,WAS,5,21.9,9.4,3.2,9.6,0.333,0.2,1.4,0.143,2.8,3.4,0.824,1.0,2.8,3.8,0.6,0.8,0.6,1.0,2.4,2017-18
Dylan Ennis,GOS,6,15.4,9.3,3.0,7.0,0.429,1.8,3.7,0.5,1.5,2.5,0.6,0.3,1.8,2.2,0.8,0.8,0.0,0.5,0.2,2017-18
Bryce Alford,GOS,6,19.0,9.3,2.7,7.0,0.381,0.8,3.8,0.217,3.2,3.3,0.95,0.2,1.5,1.7,1.5,0.8,0.0,1.2,1.2,2017-18
Ike Diogu,WAS,3,15.0,9.3,2.7,5.0,0.533,0.0,0.3,0.0,4.0,5.7,0.706,1.0,2.3,3.3,1.0,0.3,0.3,0.7,2.3,2017-18
Dallas Moore,DEN,3,14.8,9.3,4.3,9.3,0.464,0.7,2.0,0.333,0.0,0.0,0.0,0.0,1.7,1.7,0.3,1.0,0.0,0.0,0.3,2017-18
Ante Zizic,BOS,4,18.3,9.3,3.0,5.0,0.6,0.0,0.0,0.0,3.3,4.8,0.684,2.3,6.3,8.5,1.3,0.5,2.0,1.8,2.3,2017-18
Demetrius Jackson,BOS,4,25.6,9.3,3.3,7.0,0.464,1.3,2.5,0.5,1.5,2.3,0.667,0.3,2.5,2.8,4.0,2.0,0.3,1.8,1.8,2017-18
Alfonzo McKinnie,TOR,4,24.4,9.3,3.5,10.3,0.341,0.8,4.5,0.167,1.5,2.5,0.6,2.5,5.5,8.0,0.8,1.0,0.8,0.5,2.3,2017-18
Trey McKinney Jones,MIA,4,29.2,9.3,3.5,8.8,0.4,0.5,1.3,0.4,1.8,2.5,0.7,0.8,3.3,4.0,1.8,0.5,0.3,0.5,3.3,2017-18
Jack Cooley,SAC,5,17.8,9.2,3.2,5.0,0.64,0.2,0.2,1.0,2.6,4.2,0.619,3.4,3.2,6.6,0.2,1.0,0.6,0.6,3.6,2017-18
Jack Gibbs,MIN,5,18.8,9.2,3.4,10.2,0.333,1.8,5.4,0.333,0.6,1.2,0.5,0.6,1.4,2.0,3.2,1.2,0.0,1.6,2.2,2017-18
Diamond Stone,ATL,4,14.9,9.0,3.8,7.0,0.536,0.0,0.0,0.0,1.5,2.8,0.545,2.3,1.3,3.5,0.5,0.8,0.5,1.3,1.8,2017-18
Casey Prather,CLE,4,20.8,9.0,3.5,8.5,0.412,0.8,2.0,0.375,1.3,1.5,0.833,0.3,3.3,3.5,0.5,0.8,0.8,1.3,2.0,2017-18
Peter Jok,NOP,3,17.9,9.0,3.0,7.3,0.409,2.0,4.7,0.429,1.0,1.0,1.0,0.3,1.3,1.7,1.0,1.0,0.0,1.0,1.0,2017-18
Nicolas Brussino,DAL,6,20.6,8.8,3.2,7.7,0.413,2.0,5.0,0.4,0.5,0.5,1.0,0.0,4.7,4.7,1.0,1.0,0.2,0.5,2.3,2017-18
Gary Payton II,MIL,4,19.5,8.8,3.8,8.0,0.469,0.5,1.5,0.333,0.8,0.8,1.0,1.3,2.5,3.8,1.8,3.3,0.0,1.3,2.0,2017-18
Timothe Luwawu-Cabarrot,PHL,3,20.6,8.7,2.3,8.0,0.292,1.3,3.0,0.444,2.7,4.0,0.667,0.7,3.0,3.7,1.7,0.3,0.0,1.3,3.0,2017-18
Jorge Gutierrez,POR,8,26.6,8.6,2.8,7.0,0.393,0.5,1.9,0.267,2.6,3.1,0.84,0.6,3.0,3.6,4.0,1.8,0.1,2.6,2.9,2017-18
Vince Hunter,MEM,6,17.7,8.5,3.5,6.2,0.568,0.2,0.3,0.5,1.3,2.7,0.5,1.8,3.8,5.7,0.3,1.7,0.5,0.8,2.8,2017-18
Frank Mason,SAC,4,16.5,8.5,3.3,8.3,0.394,0.8,1.5,0.5,1.3,1.3,1.0,1.0,2.5,3.5,2.5,0.5,0.0,1.3,1.5,2017-18
James Young,NOP,6,19.2,8.5,2.8,7.2,0.395,1.2,4.2,0.28,1.7,2.7,0.625,0.3,2.2,2.5,1.0,0.7,0.0,1.2,1.8,2017-18
Davis Bertans,SAS,4,22.8,8.5,2.5,7.5,0.333,1.8,5.5,0.318,1.8,2.3,0.778,0.0,2.5,2.5,1.0,1.0,0.5,1.8,3.5,2017-18
Sterling Brown,MIL,5,21.6,8.4,3.2,8.4,0.381,1.2,3.0,0.4,0.8,1.0,0.8,1.0,3.0,4.0,1.6,1.8,1.0,1.0,2.0,2017-18
Jawun Evans,LAC,5,17.5,8.4,3.2,6.2,0.516,0.4,0.6,0.667,1.6,2.4,0.667,0.2,2.6,2.8,4.2,0.2,0.2,1.4,3.0,2017-18
"James Blackmon, Jr.",PHL,3,15.3,8.3,3.3,7.7,0.435,1.0,4.0,0.25,0.7,0.7,1.0,0.3,2.0,2.3,0.0,1.3,0.0,1.3,0.3,2017-18
Rosco Allen,BOS,4,13.5,8.3,3.3,4.3,0.765,1.0,1.3,0.8,0.8,1.5,0.5,0.8,1.0,1.8,1.0,0.3,0.0,0.5,1.3,2017-18
Spencer Butterfield,UTA,4,21.5,8.3,2.8,7.3,0.379,2.0,5.3,0.381,0.8,1.0,0.75,0.5,3.8,4.3,1.5,0.3,0.0,0.8,3.5,2017-18
Brandon Austin,PHL,5,19.7,8.2,3.0,9.2,0.326,0.6,3.8,0.158,1.6,2.0,0.8,1.6,1.0,2.6,2.2,1.4,0.2,2.2,4.0,2017-18
Damian Jones,GOS,6,22.5,8.2,3.0,7.0,0.429,0.0,0.2,0.0,2.2,3.5,0.619,1.3,3.7,5.0,0.5,0.5,1.8,2.3,4.2,2017-18
Dorian Finney-Smith,DAL,6,27.0,8.0,2.0,8.8,0.226,0.8,4.3,0.192,3.2,3.8,0.826,2.0,4.2,6.2,2.3,1.8,0.3,1.2,1.8,2017-18
Jonah Bolden,PHL,5,22.9,8.0,2.8,7.8,0.359,1.2,4.0,0.3,1.2,2.2,0.545,2.4,4.4,6.8,1.8,1.8,0.8,1.0,3.2,2017-18
Isaiah Hicks,LAC,5,14.0,8.0,3.0,5.0,0.6,0.0,0.0,0.0,2.0,3.2,0.625,1.4,1.6,3.0,0.2,0.0,1.4,0.8,2.2,2017-18
Jaron Johnson,LAC,5,15.2,8.0,2.8,6.4,0.438,1.8,3.2,0.563,0.6,0.8,0.75,0.4,1.8,2.2,0.4,0.2,0.4,0.8,1.8,2017-18
Duje Dukan,CHI,3,25.2,8.0,2.7,7.3,0.364,1.3,4.3,0.308,1.3,2.0,0.667,0.3,2.0,2.3,3.0,1.7,0.0,1.3,3.0,2017-18
James Southerland,UTA,2,13.0,8.0,3.0,6.0,0.5,1.5,4.0,0.375,0.5,1.0,0.5,0.5,3.0,3.5,1.5,0.0,0.0,0.5,0.5,2017-18
Malachi Richardson,SAC,1,24.6,8.0,2.0,7.0,0.286,1.0,3.0,0.333,3.0,6.0,0.5,0.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,2017-18
Markelle Fultz,PHL,1,15.4,8.0,3.0,12.0,0.25,0.0,3.0,0.0,2.0,4.0,0.5,0.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,2017-18
Travis Wear,LAL,8,16.9,7.9,3.0,7.5,0.4,1.5,3.8,0.4,0.4,0.9,0.429,0.6,3.3,3.9,1.0,0.4,0.6,0.6,2.6,2017-18
Axel Toupane,NOP,5,25.5,7.8,2.6,6.6,0.394,1.2,2.4,0.5,1.4,2.0,0.7,0.4,2.8,3.2,0.8,0.8,0.0,1.2,2.6,2017-18
Will Sheehey,TOR,4,21.9,7.8,2.5,8.3,0.303,0.8,2.5,0.3,2.0,2.3,0.889,1.5,1.0,2.5,1.5,0.5,0.5,2.8,1.3,2017-18
Johnathan Motley,DAL,6,14.8,7.7,3.3,5.7,0.588,0.2,0.3,0.5,0.8,2.0,0.417,1.3,3.0,4.3,0.5,0.2,0.3,1.3,2.3,2017-18
Cory Jefferson,SAS,3,15.2,7.7,3.0,5.3,0.563,0.3,1.0,0.333,1.3,1.7,0.8,1.0,4.0,5.0,0.7,0.3,0.7,1.0,1.7,2017-18
Trent Lockett,ATL,3,18.1,7.7,3.3,8.3,0.4,0.7,3.3,0.2,0.3,1.0,0.333,1.3,1.7,3.0,1.3,0.7,0.7,1.3,2.0,2017-18
Aaron Harrison,PHL,5,14.2,7.6,2.2,5.4,0.407,0.8,2.6,0.308,2.4,2.6,0.923,0.2,2.4,2.6,1.0,0.8,0.2,1.0,2.0,2017-18
JaKarr Sampson,SAC,4,17.4,7.5,2.5,6.5,0.385,0.5,2.0,0.25,2.0,2.0,1.0,1.0,4.3,5.3,0.8,0.8,1.3,1.5,3.0,2017-18
Travis Leslie,UTA,4,20.3,7.5,3.3,7.0,0.464,0.5,1.5,0.333,0.5,0.5,1.0,1.0,4.3,5.3,0.8,0.5,0.3,1.0,2.0,2017-18
Jabari Brown,GOS,4,18.4,7.5,1.8,6.5,0.269,1.0,4.0,0.25,3.0,4.5,0.667,0.5,3.3,3.8,1.3,1.3,0.0,1.5,3.0,2017-18
Edy Tavares,CLE,5,20.1,7.4,2.2,5.2,0.423,0.0,0.0,0.0,3.0,4.0,0.75,1.8,4.6,6.4,0.4,0.4,2.8,1.2,2.6,2017-18
Alex Caruso,LAL,8,22.2,7.4,2.4,5.5,0.432,0.6,1.6,0.385,2.0,2.1,0.941,0.9,2.4,3.3,3.9,1.1,0.4,2.4,3.9,2017-18
Deyonta Davis,MEM,6,23.9,7.3,3.3,5.2,0.645,0.0,0.0,0.0,0.7,1.0,0.667,2.2,5.3,7.5,0.5,1.0,1.3,1.2,3.8,2017-18
Derrick Jones,PHX,6,21.1,7.3,3.2,6.0,0.528,0.7,1.8,0.364,0.3,0.8,0.4,0.8,2.7,3.5,0.3,0.7,0.8,1.2,3.0,2017-18
L.J. Peak,HOU,4,13.7,7.3,2.5,5.0,0.5,1.5,3.0,0.5,0.8,0.8,1.0,0.0,0.8,0.8,0.3,0.3,0.3,1.0,1.8,2017-18
Daniel Ochefu,WAS,5,21.2,7.2,2.6,3.8,0.684,0.0,0.0,0.0,2.0,2.2,0.909,2.8,3.6,6.4,1.6,0.8,1.8,2.0,4.2,2017-18
Levi Randolph,MIN,5,21.7,7.0,2.8,6.4,0.438,0.8,2.2,0.364,0.6,0.6,1.0,1.4,2.6,4.0,1.0,0.8,0.0,1.0,1.8,2017-18
