Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Season
Cameron Bairstow,CHI,5,26.1,10.2,3.4,6.4,0.531,0.2,0.2,1.0,3.2,4.4,0.727,2.0,5.0,7.0,1.4,0.8,0.6,1.6,5.0,2014-15
Seth Curry,PHX,5,21.0,10.2,3.6,8.4,0.429,1.6,4.0,0.4,1.4,1.4,1.0,0.2,0.6,0.8,1.4,1.2,0.0,1.0,2.0,2014-15
Kevin Murphy,LAL,5,20.1,10.2,3.6,8.0,0.45,0.8,2.6,0.308,2.2,3.2,0.688,0.4,1.2,1.6,0.8,0.8,0.0,2.2,2.0,2014-15
Kevin Jones,SEL,5,21.9,10.0,4.4,9.8,0.449,0.6,1.2,0.5,0.6,0.6,1.0,1.8,3.2,5.0,1.0,0.8,0.6,0.8,1.4,2014-15
Sean Kilpatrick,PHL,5,19.1,10.0,3.6,8.4,0.429,1.2,4.2,0.286,1.6,1.8,0.889,0.4,1.8,2.2,0.6,0.6,0.2,0.8,1.2,2014-15
DeAndre Daniels,TOR,5,21.5,10.0,3.6,10.0,0.36,1.2,4.6,0.261,1.6,2.2,0.727,1.0,5.2,6.2,0.2,0.4,0.6,1.8,3.4,2014-15
Nik Stauskas,SAC,7,28.8,9.9,3.3,7.6,0.434,1.6,3.3,0.478,1.7,2.6,0.667,0.4,1.9,2.3,2.0,0.4,0.3,1.9,1.3,2014-15
John Shurna,TOR,5,20.7,9.8,2.4,6.0,0.4,1.8,4.8,0.375,3.2,3.4,0.941,0.4,1.6,2.0,0.4,0.8,0.4,1.6,2.0,2014-15
Jeremy Tyler,NYK,5,25.7,9.8,3.8,8.8,0.432,0.0,0.0,0.0,2.2,2.4,0.917,1.8,4.0,5.8,1.4,0.6,0.4,3.0,4.6,2014-15
Justin Brownlee,CHA,7,25.0,9.7,3.1,8.3,0.379,1.3,3.7,0.346,2.1,2.4,0.882,1.0,2.1,3.1,0.9,1.3,0.9,0.6,1.6,2014-15
Adonis Thomas,PHL,5,19.4,9.6,4.0,8.4,0.476,1.0,2.8,0.357,0.6,0.8,0.75,0.4,2.0,2.4,0.2,0.6,0.0,0.6,1.2,2014-15
Nemanja Nedovic,GOS,5,21.2,9.4,2.8,6.2,0.452,0.8,2.8,0.286,3.0,4.2,0.714,0.0,2.0,2.0,2.2,0.6,0.2,1.8,2.2,2014-15
Bobby Brown,POR,5,27.8,9.2,2.6,8.0,0.325,1.2,2.6,0.462,2.8,3.2,0.875,0.6,1.8,2.4,3.2,0.8,0.0,1.8,2.8,2014-15
Noah Vonleh,CHA,7,27.1,9.1,3.0,10.6,0.284,0.1,1.1,0.125,3.0,4.4,0.677,4.0,6.0,10.0,0.4,0.1,1.1,2.6,5.6,2014-15
Darius Morris,SAS,6,21.7,9.0,3.7,7.7,0.478,0.3,1.2,0.286,1.3,1.8,0.727,0.7,2.3,3.0,2.3,0.5,0.3,2.0,2.0,2014-15
Cole Aldrich,NYK,1,31.3,9.0,2.0,4.0,0.5,0.0,0.0,0.0,5.0,6.0,0.833,5.0,9.0,14.0,2.0,0.0,3.0,0.0,2.0,2014-15
Trey Burke,UTA,4,27.0,9.0,3.5,11.5,0.304,0.5,3.5,0.143,1.5,1.5,1.0,1.0,3.0,4.0,4.0,0.8,0.0,3.0,1.3,2014-15
James McAdoo,GOS,5,28.9,9.0,3.4,8.2,0.415,0.0,0.0,0.0,2.2,5.4,0.407,2.2,3.2,5.4,1.2,1.0,1.2,4.0,4.2,2014-15
Josh Davis,CHA,7,25.5,8.9,2.9,5.6,0.513,0.0,0.0,0.0,3.1,4.7,0.667,4.0,6.1,10.1,1.3,0.7,0.6,1.4,2.6,2014-15
Bryce Cotton,SAS,6,22.0,8.8,3.0,6.7,0.45,0.5,2.2,0.231,2.3,2.5,0.933,0.5,2.2,2.7,2.8,0.5,0.0,0.7,1.0,2014-15
Andre Dawkins,HOU,8,17.6,8.6,2.3,7.3,0.31,1.8,5.6,0.311,2.4,2.6,0.905,0.1,0.8,0.9,0.6,0.4,0.0,1.3,3.0,2014-15
Stephen Holt,ATL,5,23.7,8.6,3.0,6.6,0.455,1.6,3.8,0.421,1.0,1.0,1.0,0.6,2.0,2.6,2.0,1.2,0.0,0.4,1.0,2014-15
Miles Plumlee,PHX,4,29.3,8.5,3.3,9.3,0.351,0.0,0.0,0.0,2.0,2.8,0.727,3.0,8.0,11.0,1.0,1.3,2.0,2.0,3.5,2014-15
Kyrylo Fesenko,MIN,5,18.5,8.4,3.4,5.6,0.607,0.0,0.0,0.0,1.6,3.2,0.5,2.6,2.6,5.2,1.0,0.2,0.6,1.6,2.4,2014-15
Ian Clark,UTA,5,21.3,8.4,3.2,8.0,0.4,1.4,2.8,0.5,0.6,1.0,0.6,0.0,2.8,2.8,2.0,1.2,0.0,1.4,2.4,2014-15
Nate Wolters,MIL,5,22.5,8.4,3.4,7.6,0.447,0.2,1.2,0.167,1.4,2.6,0.538,0.4,2.6,3.0,1.6,1.0,0.0,1.6,1.8,2014-15
Kendall Marshall,LAL,4,26.3,8.3,2.8,8.8,0.314,0.8,3.3,0.231,2.0,2.0,1.0,1.3,1.5,2.8,3.0,1.0,0.0,2.8,1.3,2014-15
Chris Goulding,DAL,4,24.0,8.3,2.8,6.3,0.44,2.5,5.0,0.5,0.3,0.8,0.333,0.0,2.0,2.0,1.0,1.0,0.0,2.0,2.5,2014-15
Keith Benson,LAC,5,16.2,8.2,3.4,5.2,0.654,0.0,0.0,0.0,1.4,1.6,0.875,1.4,3.2,4.6,0.2,0.2,1.0,0.6,2.2,2014-15
Johnny O'Bryant,MIL,5,18.2,8.2,2.8,6.8,0.412,0.0,0.0,0.0,2.6,3.8,0.684,1.6,3.6,5.2,0.4,0.6,0.6,1.4,2.4,2014-15
Brock Motum,UTA,5,17.2,8.0,3.6,5.8,0.621,0.2,1.2,0.167,0.6,1.2,0.5,2.0,2.6,4.6,1.6,0.4,0.2,1.6,1.2,2014-15
Kyle Anderson,SAS,6,24.4,8.0,2.8,7.0,0.405,0.7,1.2,0.571,1.7,2.2,0.769,0.5,2.5,3.0,2.0,1.2,0.5,1.2,2.2,2014-15
JaMychal Green,SAS,6,16.2,7.8,3.2,7.2,0.442,0.0,0.5,0.0,1.5,1.7,0.9,2.2,4.3,6.5,0.7,0.8,0.8,1.5,4.0,2014-15
Ivan Johnson,DAL,5,20.7,7.8,2.6,7.8,0.333,0.8,4.0,0.2,1.8,2.4,0.75,0.6,3.2,3.8,0.6,1.0,0.4,1.4,4.4,2014-15
Scott Suggs,MIA,5,19.7,7.8,2.6,8.0,0.325,1.4,4.2,0.333,1.2,1.6,0.75,0.2,1.2,1.4,0.8,0.6,0.2,1.0,2.6,2014-15
Joe Harris,CLE,4,24.7,7.8,2.3,5.8,0.391,1.0,2.5,0.4,2.3,2.8,0.818,0.0,1.5,1.5,1.5,0.5,0.3,1.5,2.3,2014-15
Glenn Robinson,MIN,6,21.8,7.7,2.5,6.5,0.385,0.7,1.7,0.4,2.0,3.2,0.632,0.8,2.2,3.0,0.7,1.0,0.0,1.0,0.7,2014-15
Robert Covington,HOU,8,24.2,7.6,2.1,8.0,0.266,1.3,4.5,0.278,2.1,2.9,0.739,1.6,3.0,4.6,1.3,1.4,0.8,1.9,3.0,2014-15
Chris Wright,MIL,5,19.9,7.6,2.4,5.4,0.444,0.0,0.2,0.0,2.8,3.2,0.875,1.4,2.8,4.2,0.4,0.2,1.4,1.2,1.6,2014-15
Lance Thomas,CHI,5,21.7,7.6,2.8,4.8,0.583,0.0,0.0,0.0,2.0,2.6,0.769,0.6,3.8,4.4,0.4,0.4,0.2,0.8,2.0,2014-15
Josh Carter,NOP,5,21.1,7.6,2.8,7.2,0.389,2.0,5.6,0.357,0.0,0.4,0.0,0.4,1.8,2.2,0.8,0.0,0.4,0.8,1.4,2014-15
Mickey McConnell,CHA,7,29.6,7.6,2.4,6.4,0.378,0.7,2.0,0.357,2.0,2.1,0.933,0.4,2.1,2.6,4.4,1.1,0.1,2.7,2.9,2014-15
